,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,brae,gb,60.4,-1.35,50.77,76.0,64.0,13.87
2,hermanus,za,-34.42,19.24,45.84,93.0,68.0,3.58
4,atuona,pf,-9.8,-139.03,80.31,100.0,92.0,19.69
5,klaksvik,fo,62.23,-6.59,50.0,93.0,44.0,17.22
6,port alfred,za,-33.59,26.89,56.82,100.0,0.0,3.24
7,seoni,in,22.09,79.55,76.44,88.0,12.0,7.61
8,talcahuano,cl,-36.72,-73.12,46.4,75.0,0.0,3.36
9,rikitea,pf,-23.12,-134.97,75.99,100.0,0.0,13.42
10,susanville,us,40.42,-120.65,89.6,17.0,1.0,5.82
11,chokurdakh,ru,70.62,147.9,50.16,81.0,44.0,14.65
13,ilo,pe,-17.65,-71.34,56.46,100.0,88.0,2.91
14,puerto ayora,ec,-0.74,-90.35,75.2,73.0,75.0,17.22
15,saint-philippe,re,-21.36,55.77,69.1,55.0,20.0,8.05
16,poum,nc,-20.23,164.02,72.66,100.0,0.0,13.87
17,castro,cl,-42.48,-73.76,46.29,100.0,88.0,3.69
18,coquimbo,cl,-29.95,-71.34,48.2,93.0,0.0,6.93
20,harper,lr,4.38,-7.71,77.16,100.0,92.0,13.09
22,east london,za,-33.02,27.91,65.91,100.0,0.0,12.97
23,georgetown,sh,-7.93,-14.42,76.98,100.0,80.0,16.22
24,oktyabrskiy,ru,55.61,37.97,55.98,82.0,75.0,8.95
26,sfantu gheorghe,ro,44.65,26.83,55.4,93.0,0.0,4.7
27,arraial do cabo,br,-22.97,-42.02,72.39,93.0,0.0,13.53
28,punta alta,ar,-27.46,-55.82,55.4,93.0,90.0,6.93
29,barraute,ca,48.43,-77.63,64.4,17.0,20.0,13.87
30,puerto leguizamo,co,-0.19,-74.78,77.34,90.0,36.0,2.24
32,mar del plata,ar,-46.43,-67.52,41.88,64.0,0.0,14.09
33,paamiut,gl,61.99,-49.67,38.01,100.0,88.0,13.65
34,albany,au,-35.02,117.88,44.94,83.0,0.0,11.18
35,kodiak,us,39.95,-94.76,78.8,74.0,1.0,4.7
36,pinawa,ca,50.15,-95.88,73.65,57.0,0.0,12.08
39,severo-kurilsk,ru,50.68,156.12,47.73,93.0,12.0,4.92
41,hommelvik,no,63.41,10.8,51.8,100.0,75.0,2.24
42,nikolskoye,ru,59.7,30.79,50.0,87.0,40.0,6.71
43,yar-sale,ru,66.83,70.83,49.8,79.0,80.0,11.52
44,cape town,za,-33.93,18.42,51.8,87.0,0.0,9.17
45,salalah,om,17.01,54.1,80.6,88.0,75.0,8.05
46,barrow,us,39.51,-90.4,79.77,78.0,1.0,5.82
47,saint-augustin,ca,45.63,-73.98,59.59,87.0,90.0,4.7
48,antalaha,mg,-14.9,50.28,69.33,100.0,100.0,13.65
49,hobart,au,-42.88,147.33,51.8,66.0,75.0,10.29
50,bluff,nz,-46.6,168.33,46.74,100.0,76.0,27.51
51,tsogni,ga,-2.79,10.1,73.47,100.0,12.0,8.5
52,wa,gh,10.06,-2.51,71.04,98.0,92.0,7.16
53,hami,cn,42.84,93.51,71.58,46.0,20.0,3.58
54,saskylakh,ru,71.97,114.09,47.55,100.0,92.0,12.3
55,sitka,us,37.17,-99.65,77.7,77.0,44.0,9.4
56,busselton,au,-33.64,115.35,59.7,100.0,0.0,18.45
58,punta arenas,cl,-53.16,-70.91,37.4,86.0,75.0,14.99
60,port blair,in,11.67,92.75,82.11,100.0,88.0,20.02
61,avarua,ck,-21.21,-159.78,78.8,88.0,75.0,6.93
63,sao joao da barra,br,-21.64,-41.05,74.91,96.0,0.0,15.99
66,hrubieszow,pl,50.8,23.89,50.16,96.0,36.0,6.93
67,cidreira,br,-30.17,-50.22,53.58,99.0,92.0,6.6
68,victoria,sc,-4.62,55.45,78.8,83.0,40.0,10.29
69,hilo,us,19.71,-155.08,78.8,78.0,90.0,10.29
70,port hardy,ca,50.7,-127.42,57.2,93.0,90.0,5.82
71,amazar,ru,53.86,120.88,53.76,99.0,92.0,8.61
72,yellowknife,ca,62.45,-114.38,69.8,52.0,20.0,16.11
73,hithadhoo,mv,-0.6,73.08,79.41,100.0,8.0,1.9
74,stokmarknes,no,68.56,14.91,47.91,99.0,92.0,11.74
75,makakilo city,us,21.35,-158.09,82.98,54.0,75.0,11.41
76,kavieng,pg,-2.57,150.8,83.1,100.0,48.0,8.16
78,napoleon,us,46.5,-99.77,71.6,78.0,75.0,9.17
79,touros,br,-5.2,-35.46,79.5,80.0,88.0,19.01
80,ushuaia,ar,-54.81,-68.31,32.0,100.0,75.0,4.7
81,quatre cocos,mu,-20.21,57.76,69.8,88.0,75.0,3.36
83,laramie,us,41.31,-105.59,57.31,58.0,75.0,16.11
84,gobabis,na,-22.45,18.97,37.02,59.0,0.0,4.14
85,vila velha,br,-3.71,-38.6,78.8,78.0,0.0,5.82
86,kamenka,ru,53.19,44.05,70.23,35.0,20.0,7.16
87,ribeira grande,pt,38.52,-28.7,67.08,100.0,100.0,7.38
88,lima,pe,-12.06,-77.04,57.99,76.0,12.0,2.57
89,bambous virieux,mu,-20.34,57.76,69.8,88.0,75.0,3.36
90,nurobod,uz,40.91,69.8,68.0,49.0,0.0,4.7
91,jining,cn,35.41,116.58,77.16,98.0,92.0,9.95
92,torbay,ca,47.66,-52.73,51.8,100.0,75.0,5.82
93,taltal,cl,-25.41,-70.49,48.72,97.0,0.0,1.68
94,narsaq,gl,60.91,-46.05,39.2,86.0,90.0,8.05
95,chimbote,pe,-9.08,-78.59,62.4,95.0,0.0,8.5
96,leningradskiy,ru,69.38,178.42,32.52,99.0,100.0,1.12
97,kwakoa,tz,-3.77,37.72,56.01,91.0,24.0,1.12
98,sorland,no,67.67,12.69,49.08,96.0,92.0,17.56
100,kapaa,us,22.08,-159.32,81.41,69.0,75.0,19.46
101,ferrol,es,43.48,-8.23,61.79,93.0,90.0,5.82
102,zhigansk,ru,66.77,123.37,62.67,88.0,68.0,3.02
103,vaini,to,-21.2,-175.2,77.0,88.0,90.0,5.82
104,souillac,mu,-20.52,57.52,69.8,88.0,75.0,3.36
105,luderitz,na,-26.65,15.16,49.08,93.0,20.0,10.96
106,longyearbyen,sj,78.22,15.64,41.0,93.0,75.0,12.75
107,bathsheba,bb,13.22,-59.52,77.0,94.0,75.0,32.21
108,kruisfontein,za,-34.0,24.73,54.3,96.0,12.0,9.06
109,butaritari,ki,3.07,172.79,82.29,100.0,36.0,9.62
111,antofagasta,cl,-23.65,-70.4,57.2,76.0,90.0,13.87
112,mezen,ru,65.85,44.24,58.08,65.0,48.0,4.36
113,sola,vu,-13.88,167.55,80.6,78.0,75.0,5.82
114,ponta do sol,cv,17.2,-25.09,72.12,100.0,0.0,12.97
115,mount isa,au,-20.73,139.49,69.8,60.0,76.0,11.41
116,paracatu,br,-17.22,-46.87,64.2,69.0,0.0,5.7
117,ilulissat,gl,69.22,-51.1,37.4,86.0,75.0,5.82
118,new norfolk,au,-42.78,147.06,51.8,66.0,75.0,10.29
121,ballina,au,-28.87,153.57,62.22,100.0,56.0,11.41
122,dikson,ru,73.51,80.55,34.41,97.0,8.0,8.28
123,lompoc,us,34.64,-120.46,68.05,87.0,90.0,6.93
124,tasiilaq,gl,65.61,-37.64,35.6,93.0,92.0,1.12
125,norman wells,ca,65.28,-126.83,48.2,81.0,90.0,10.29
126,carnarvon,au,-24.87,113.63,57.09,100.0,0.0,19.8
127,wembley,ca,55.15,-119.14,78.8,34.0,75.0,16.11
128,thompson,ca,55.74,-97.86,78.8,29.0,20.0,11.41
130,moers,de,51.45,6.63,56.73,87.0,75.0,6.93
131,hofn,is,64.25,-15.21,48.81,99.0,92.0,23.15
132,birjand,ir,32.86,59.22,73.4,17.0,0.0,9.17
133,clyde river,ca,70.47,-68.59,39.2,86.0,90.0,4.7
134,iralaya,hn,15.0,-83.23,82.92,83.0,92.0,10.4
135,beruwala,lk,6.48,79.98,78.42,100.0,80.0,7.16
137,hasaki,jp,35.73,140.83,80.6,57.0,0.0,4.7
138,jamestown,sh,-15.94,-5.72,70.59,100.0,0.0,20.92
139,khatanga,ru,71.98,102.47,50.16,82.0,20.0,13.87
140,jalu,ly,29.03,21.55,79.5,31.0,0.0,11.74
141,port elizabeth,za,-33.92,25.57,51.8,87.0,20.0,5.82
142,mahebourg,mu,-20.41,57.7,69.8,88.0,75.0,3.36
143,bardiyah,ly,31.76,25.09,74.19,97.0,0.0,7.38
144,tianpeng,cn,28.88,112.34,83.01,83.0,8.0,10.85
145,kolosovka,ru,56.47,73.61,57.36,95.0,20.0,8.61
146,boyuibe,bo,-20.43,-63.28,56.82,60.0,92.0,5.14
147,koltubanovskiy,ru,52.94,52.03,66.63,72.0,0.0,3.24
148,tessalit,ml,20.2,1.01,91.74,18.0,92.0,4.7
149,lebu,cl,-37.62,-73.65,49.62,100.0,88.0,3.69
151,huescar,es,37.81,-2.54,57.9,80.0,0.0,2.24
152,ryotsu,jp,38.08,138.43,69.8,77.0,75.0,9.17
153,mezhova,ua,48.26,36.73,55.02,80.0,0.0,3.69
154,manaus,br,-3.13,-59.98,78.76,78.0,0.0,2.24
156,vardo,no,70.37,31.11,47.82,91.0,12.0,5.93
157,chuy,uy,-33.69,-53.46,41.43,95.0,88.0,4.36
158,nanma,cn,35.7,113.14,72.66,88.0,76.0,1.34
159,tamale,gh,9.4,-0.84,71.67,98.0,100.0,6.71
160,seoul,kr,37.57,126.98,77.43,60.0,92.0,6.93
161,mogadishu,so,2.04,45.34,76.98,100.0,88.0,20.36
162,cherskiy,ru,68.75,161.3,53.76,44.0,0.0,6.15
163,tuatapere,nz,-46.13,167.69,43.32,100.0,92.0,21.25
164,arvika,se,59.65,12.59,53.6,76.0,56.0,4.7
165,madimba,tz,-10.4,40.33,74.19,100.0,0.0,11.63
166,fershampenuaz,ru,53.52,59.82,53.76,81.0,0.0,3.24
167,darnah,ly,32.77,22.64,76.62,98.0,0.0,13.65
169,eenhana,na,-17.48,16.34,48.36,44.0,0.0,5.26
170,havre-saint-pierre,ca,50.23,-63.6,50.0,87.0,20.0,2.24
172,puerto colombia,co,10.99,-74.96,78.8,100.0,40.0,2.24
175,mount darwin,zw,-16.77,31.58,51.24,90.0,0.0,5.03
176,rawson,ar,-43.3,-65.11,48.54,47.0,20.0,15.99
177,berbera,so,10.44,45.01,80.22,55.0,76.0,6.49
179,mgandu,tz,-5.96,34.11,58.17,64.0,0.0,9.06
180,los llanos de aridane,es,28.66,-17.92,68.0,72.0,0.0,5.82
181,el congo,sv,13.91,-89.5,81.23,69.0,0.0,1.12
184,provideniya,ru,64.42,-173.23,46.4,81.0,75.0,6.71
185,balabag,ph,6.81,125.28,84.2,70.0,20.0,2.24
186,cockburn town,tc,21.46,-71.14,82.29,97.0,56.0,20.92
187,ponta delgada,pt,37.73,-25.67,66.2,77.0,20.0,3.36
188,anjiang,cn,27.32,110.14,78.42,86.0,0.0,3.36
189,portland,au,-33.35,149.98,40.98,85.0,0.0,2.46
191,anina,ro,45.09,21.85,48.2,100.0,0.0,2.24
192,nanortalik,gl,60.14,-45.24,36.12,100.0,88.0,11.18
193,prince rupert,ca,54.32,-130.32,57.2,82.0,90.0,4.7
194,necochea,ar,-38.55,-58.74,37.65,79.0,0.0,14.43
195,shishou,cn,29.72,112.42,83.46,82.0,12.0,12.97
196,kahului,us,20.89,-156.47,80.49,66.0,40.0,23.04
197,katesh,tz,-4.52,35.39,58.44,72.0,0.0,8.72
199,forio,it,40.73,13.86,67.39,56.0,0.0,1.12
200,obo,cf,5.39,26.49,67.62,88.0,20.0,2.91
201,ostrovnoy,ru,68.05,39.51,55.2,76.0,92.0,2.91
202,amapa,br,-1.83,-56.23,77.61,92.0,32.0,3.58
203,arroyo,us,41.39,-78.88,68.29,93.0,90.0,9.17
205,jurm,af,36.86,70.83,35.13,99.0,8.0,1.57
206,harstad,no,68.8,16.53,46.4,93.0,92.0,5.82
207,zory,pl,50.05,18.7,52.72,93.0,75.0,4.7
208,kenitra,ma,34.26,-6.57,68.0,72.0,90.0,2.24
209,albion,mu,-20.21,57.4,69.8,88.0,75.0,3.36
210,bethel,us,60.79,-161.76,62.6,45.0,90.0,4.7
212,abha,sa,18.22,42.5,69.69,33.0,0.0,1.79
213,donskoye,ru,45.45,41.98,66.2,82.0,20.0,4.47
214,mackenzie,ca,55.34,-123.09,57.2,71.0,90.0,2.24
215,akdepe,tm,42.05,59.39,69.33,59.0,0.0,3.13
217,nikolayevsk-na-amure,ru,53.14,140.72,50.34,81.0,12.0,3.69
218,iqaluit,ca,63.75,-68.52,41.0,86.0,40.0,17.22
219,frontera,mx,18.53,-92.64,86.0,66.0,40.0,6.93
220,guerrero negro,mx,27.97,-114.04,75.0,56.0,0.0,9.95
221,helong,cn,25.94,116.13,79.68,78.0,8.0,4.25
222,remontnoye,ru,46.56,43.66,71.6,68.0,0.0,8.95
223,alvaraes,br,-3.22,-64.8,79.68,81.0,64.0,3.58
224,liwale,tz,-9.8,37.92,63.39,75.0,0.0,5.48
225,ampanihy,mg,-24.69,44.75,59.25,91.0,0.0,6.93
226,abeche,td,13.83,20.83,74.28,68.0,36.0,1.9
228,berezovka,ru,57.6,57.31,56.1,82.0,0.0,3.47
229,nome,us,30.04,-94.42,86.0,70.0,40.0,6.93
230,tuktoyaktuk,ca,69.44,-133.03,42.8,75.0,75.0,12.75
232,cabo san lucas,mx,22.89,-109.91,82.69,61.0,5.0,13.87
233,fortuna,us,40.6,-124.16,60.19,87.0,90.0,9.17
234,monastyrishche,ru,44.19,132.5,65.28,90.0,48.0,3.91
235,boa vista,br,2.82,-60.67,82.4,78.0,40.0,2.24
236,bredasdorp,za,-34.53,20.04,53.6,71.0,76.0,3.36
237,saint george,bm,32.38,-64.68,78.8,88.0,20.0,13.87
238,cockburn town,bs,24.03,-74.52,83.64,91.0,24.0,15.1
239,kirakira,sb,-10.46,161.92,78.78,100.0,80.0,10.63
241,sorong,id,-0.86,131.25,79.32,100.0,20.0,2.24
243,man,ci,7.41,-7.55,69.06,99.0,92.0,2.68
244,upernavik,gl,72.79,-56.15,29.46,100.0,56.0,11.63
245,nuuk,gl,64.17,-51.74,35.6,100.0,76.0,10.29
246,oistins,bb,13.07,-59.53,77.0,94.0,75.0,32.21
247,tiksi,ru,71.64,128.87,49.35,72.0,68.0,7.72
248,pisco,pe,-13.71,-76.2,62.6,82.0,40.0,4.7
249,sao jose da coroa grande,br,-8.9,-35.15,75.63,83.0,92.0,10.4
250,smithers,ca,54.78,-127.17,62.6,51.0,75.0,8.05
251,talnakh,ru,69.49,88.39,58.98,78.0,44.0,7.61
252,fort nelson,ca,58.81,-122.69,75.2,38.0,75.0,3.36
253,raymond,ca,49.47,-112.67,78.8,44.0,20.0,4.7
254,saldanha,za,-33.01,17.94,51.8,87.0,76.0,2.24
255,amudat,ug,1.95,34.95,55.38,91.0,24.0,2.57
256,arica,cl,-18.48,-70.32,59.72,72.0,90.0,5.82
257,bud,no,62.91,6.91,52.95,82.0,92.0,10.29
258,alice springs,au,-23.7,133.88,53.6,40.0,0.0,10.29
259,jiaozuo,cn,35.21,113.25,72.12,98.0,92.0,3.24
260,sechura,pe,-5.56,-80.82,70.41,80.0,24.0,12.75
261,roebourne,au,-20.77,117.15,56.28,38.0,0.0,18.12
262,tocopilla,cl,-22.09,-70.2,56.28,100.0,44.0,6.38
263,aklavik,ca,68.22,-135.01,51.8,57.0,75.0,9.17
264,honiara,sb,-9.43,159.96,87.8,70.0,40.0,6.93
265,fairbanks,us,64.84,-147.72,68.0,32.0,36.0,5.82
267,urbana,us,40.11,-88.21,76.6,69.0,1.0,5.82
268,lazaro cardenas,mx,28.39,-105.62,96.8,15.0,75.0,8.05
269,saint-joseph,re,-21.37,55.62,69.17,55.0,20.0,8.05
270,romanovskaya,ru,47.54,42.02,67.08,89.0,0.0,3.69
271,nabire,id,-3.36,135.5,73.29,87.0,24.0,1.68
272,vitim,ru,59.44,112.57,68.34,76.0,0.0,3.24
273,gimli,ca,50.63,-96.99,73.74,72.0,0.0,11.41
274,henties bay,na,-22.12,14.28,54.66,100.0,8.0,5.59
276,itarema,br,-2.92,-39.92,79.59,72.0,8.0,14.32
277,margate,za,-30.86,30.37,61.59,89.0,0.0,12.86
278,guacui,br,-20.78,-41.68,61.14,90.0,0.0,2.68
279,samarai,pg,-10.62,150.67,77.52,100.0,80.0,15.21
280,grass valley,us,39.22,-121.06,89.4,25.0,1.0,3.36
281,nazilli,tr,37.91,28.32,64.02,75.0,0.0,1.57
282,lincoln,us,40.8,-96.67,80.98,65.0,1.0,8.05
283,bandar-e lengeh,ir,26.56,54.88,80.6,83.0,0.0,18.23
284,murrhardt,de,48.98,9.58,55.85,67.0,75.0,5.82
285,presidencia roque saenz pena,ar,-26.79,-60.44,54.66,49.0,80.0,9.73
286,shediac,ca,46.22,-64.55,51.8,93.0,90.0,12.75
287,college,us,64.86,-147.8,68.0,32.0,36.0,5.82
288,caluquembe,ao,-13.78,14.68,43.05,64.0,0.0,2.35
289,abu kamal,sy,34.45,40.92,76.53,42.0,0.0,9.51
290,pacific grove,us,36.62,-121.92,66.22,72.0,90.0,14.99
291,safford,us,32.83,-109.71,96.8,11.0,1.0,20.8
292,bonthe,sl,7.53,-12.5,77.16,96.0,92.0,4.59
293,westport,ie,53.8,-9.52,48.45,92.0,0.0,3.36
294,port hedland,au,-20.31,118.58,66.2,25.0,0.0,20.8
295,dangriga,bz,16.97,-88.23,84.2,79.0,40.0,9.17
297,alekseyevsk,ru,57.84,108.35,67.26,67.0,24.0,6.6
298,husavik,is,66.04,-17.34,48.2,93.0,90.0,2.24
299,roding,de,49.19,12.52,51.8,93.0,90.0,2.68
300,tongzi,cn,28.78,105.09,77.16,98.0,80.0,5.03
301,alugan,ph,12.22,125.48,82.56,99.0,64.0,4.7
302,richards bay,za,-28.77,32.06,54.48,99.0,0.0,4.14
304,kargil,in,34.57,76.1,31.8,100.0,92.0,1.12
305,rosehearty,gb,57.7,-2.11,46.4,93.0,0.0,2.24
306,vestmanna,fo,62.16,-7.17,50.0,93.0,56.0,17.22
307,bridlington,gb,54.08,-0.19,52.47,93.0,0.0,2.24
308,diamantino,br,-14.4,-56.44,71.04,69.0,0.0,1.12
310,san policarpo,ph,12.18,125.51,82.56,99.0,64.0,4.7
312,batticaloa,lk,7.71,81.69,78.87,100.0,12.0,10.96
314,yulara,au,-25.24,130.99,51.8,40.0,0.0,11.41
315,pontes e lacerda,br,-15.23,-59.33,70.41,80.0,0.0,3.36
316,washington,us,38.9,-77.04,75.87,100.0,20.0,6.71
317,mtsamboro,yt,-12.7,45.07,75.2,83.0,0.0,9.17
318,vostok,ru,46.45,135.83,57.54,63.0,0.0,2.35
319,bogorodskoye,ru,52.37,140.44,54.03,75.0,32.0,3.02
321,sur,om,22.57,59.53,88.59,84.0,92.0,5.93
322,ziniare,bf,12.58,-1.3,77.0,88.0,20.0,6.93
325,san cristobal,ec,-1.02,-79.44,63.12,96.0,80.0,1.34
326,megion,ru,61.04,76.11,59.0,100.0,20.0,2.24
327,lagoa,pt,37.14,-8.45,68.0,72.0,0.0,5.82
328,broome,au,-17.97,122.23,62.6,33.0,0.0,16.11
